Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-500.0	0.0	-500.0	-500.0	1000.0	76.4	135.32162	469.0	0.0	-0.034413226	0.0024652877	-0.028049462	-0.040876668	20000	3.9615588e-07	2125.2168	-0.008018679	-1315.456	0.9189386	0.012219944	0.1391	99.0	59.43860840797424
1	500.0	0.0	500.0	500.0	1000.0	130.4	129.37172	528.0	0.0	-18.500889	3.8146973e-06	-18.500893	-18.500893	40000	0.29993066	3994.428	-0.25676203	-1685.7983	0.90178925	1.4915633	0.89530003	99.0	121.84091067314148
2	-500.0	0.0	-500.0	-500.0	1000.0	5.6	10.960839	48.0	0.0	-2.5115523	3.5873876e-07	-2.5115519	-2.5115538	60000	-7.7495577e-07	1919.721	-0.0028309177	-749.3738	0.8970409	0.003757263	0.03325	99.0	183.7834756374359
3	500.0	0.0	500.0	500.0	1000.0	61.5	77.47225	214.0	0.0	-12.518444	9.536743e-07	-12.518443	-12.518443	80000	0.052135244	3327.1963	-0.02146319	-1259.7144	0.89653313	0.7882736	0.87705004	99.0	246.66573691368103
4	-500.0	0.0	-500.0	-500.0	1000.0	17.7	25.473713	100.0	0.0	0.19913846	1.417178e-08	0.19913849	0.19913845	100000	4.5204164e-08	2145.1353	-0.00515973	-781.6012	0.8806787	0.0053007137	0.04845	99.0	308.96732902526855
5	500.0	0.0	500.0	500.0	1000.0	77.55	83.680626	219.0	0.0	-9.583733	0.0	-9.583733	-9.583733	120000	0.06863405	3022.1604	-0.041126814	-1123.6528	0.8725777	1.2052586	0.86425	99.0	371.0200443267822
6	-500.0	0.0	-500.0	-500.0	1000.0	14.5	18.051315	55.0	0.0	2.2910905	0.0	2.2910905	2.2910905	140000	-1.5430451e-06	2327.6494	-0.0039834008	-845.9004	0.85578096	0.009540149	0.123150006	99.0	432.4433562755585
7	500.0	0.0	500.0	500.0	1000.0	127.75	140.1752	435.0	0.0	-7.8682275	9.536743e-07	-7.8682284	-7.8682284	160000	0.06555277	2850.6409	-0.038048726	-1051.4918	0.84379876	1.385218	0.8715	99.0	494.0269613265991
8	-500.0	0.0	-500.0	-500.0	1000.0	11.4	22.06445	89.0	0.0	3.5620387	7.1525574e-07	3.5620394	3.5620394	180000	5.092621e-07	2442.1724	-0.0031457923	-888.833	0.82519865	0.007405782	0.074149996	99.0	555.3706464767456
9	500.0	0.0	500.0	500.0	1000.0	46.8	69.39639	199.0	0.0	-6.8606954	4.7683716e-07	-6.860695	-6.860695	200000	0.06650929	2752.241	-0.0520671	-1010.47473	0.8245464	0.68852526	0.84615004	99.0	616.7862968444824
10	-500.0	0.0	-500.0	-500.0	1000.0	12.25	11.076439	32.0	0.0	4.3118563	4.7683716e-07	4.3118567	4.3118567	220000	-7.572174e-08	2511.0273	-0.005844189	-914.8269	0.80247575	0.0082836	0.092549995	99.0	678.9087307453156
11	500.0	0.0	500.0	500.0	1000.0	127.15	81.96601	269.0	0.0	-6.2684574	4.7683716e-07	-6.268458	-6.268458	240000	0.0607003	2695.2075	-0.053970948	-986.82117	0.79169464	0.47002724	0.85155	99.0	741.2154018878937
12	-500.0	0.0	-500.0	-500.0	1000.0	19.0	23.981241	79.0	0.0	4.753633	0.0	4.753633	4.753633	260000	1.1640549e-06	2552.043	-0.008089641	-930.2672	0.76452434	0.011205466	0.10955	99.0	803.4170126914978
