Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	500.0	0.0	500.0	500.0	1000.0	80.55	74.51475	197.0	0.0	-0.03566158	0.0011507636	-0.029695503	-0.038342282	20000	0.2594836	2131.1816	-0.21882346	-1309.1736	0.9189386	1.1409681	0.8685	99.0	70.45955538749695
1	500.0	0.0	500.0	500.0	1000.0	130.4	129.37172	528.0	0.0	18.270323	0.0	18.270323	18.270323	40000	0.041363247	857.0249	-0.03327785	-488.87927	0.91683006	0.7111236	0.84319997	99.0	137.92837858200073
2	500.0	0.0	500.0	500.0	1000.0	53.5	87.91729	386.0	0.0	28.82645	0.0	28.82645	28.82645	60000	0.7063255	381.63614	-0.6618907	-238.00636	0.9089089	2.4271564	0.8919	99.0	203.04196524620056
3	500.0	0.0	500.0	500.0	1000.0	61.5	77.47225	214.0	0.0	36.74662	3.8146973e-06	36.746616	36.746616	80000	0.054053016	149.52563	-0.009257525	-101.17697	0.9010587	2.296626	0.89365	99.0	270.063884973526
4	500.0	0.0	500.0	500.0	1000.0	91.65	113.8285	380.0	0.0	42.295597	0.0	42.295597	42.295597	100000	0.062340774	50.52893	-0.022373967	-36.61782	0.8898078	1.1971166	0.89675	99.0	336.86161160469055
5	500.0	0.0	500.0	500.0	1000.0	77.55	83.680626	219.0	0.0	45.862247	0.0	45.862247	45.862247	120000	0.054387577	14.574415	-0.018474305	-11.164387	0.87660587	1.3826544	0.8908	99.0	415.801029920578
6	500.0	0.0	500.0	500.0	1000.0	74.85	73.129524	245.0	0.0	47.951237	0.0	47.951237	47.951237	140000	0.0898871	3.5731044	-0.05425006	-2.8610077	0.8600311	1.1995426	0.893	99.0	512.0267696380615
7	500.0	0.0	500.0	500.0	1000.0	127.75	140.1752	435.0	0.0	49.065193	7.6293945e-06	49.0652	49.0652	160000	0.051034015	0.74387306	-0.018636622	-0.61708677	0.843653	1.9025784	0.89365	99.0	590.7652139663696
8	500.0	0.0	500.0	500.0	1000.0	75.9	93.07787	314.0	0.0	49.606953	3.8146973e-06	49.606956	49.606956	180000	0.05371996	0.13150533	-0.023925975	-0.11224319	0.8288354	1.6445835	0.88390005	99.0	705.51704454422
9	500.0	0.0	500.0	500.0	1000.0	46.8	69.39639	199.0	0.0	49.84772	3.8146973e-06	49.847725	49.847725	200000	0.05540752	0.019738767	-0.03041197	-0.017240563	0.8158117	0.97765905	0.8621	99.0	808.424919128418
10	500.0	0.0	500.0	500.0	1000.0	80.5	112.63148	400.0	0.0	49.945663	3.8146973e-06	49.94566	49.94566	220000	0.057020746	0.0025136615	-0.027856419	-0.0022369828	0.80589783	1.0807674	0.88715	99.0	891.8317930698395
11	500.0	0.0	500.0	500.0	1000.0	127.15	81.96601	269.0	0.0	49.982155	3.8146973e-06	49.98215	49.98215	240000	0.032662086	0.0002712015	-0.017845016	-0.00024505876	0.7934075	1.2043731	0.86749995	99.0	968.2567796707153
12	500.0	0.0	500.0	500.0	1000.0	64.2	82.46247	255.0	0.0	49.99461	3.8146973e-06	49.994606	49.994606	260000	0.04803557	2.4768542e-05	-0.03528294	-2.2659053e-05	0.7774884	0.8364049	0.87804997	99.0	1065.3249073028564
13	500.0	0.0	500.0	500.0	1000.0	87.35	77.75556	228.0	0.0	49.998493	7.6293945e-06	49.9985	49.9985	280000	0.0754447	1.9135841e-06	-0.033839144	-1.7650383e-06	0.75867504	1.4449298	0.88979995	99.0	1174.2766735553741
14	500.0	0.0	500.0	500.0	1000.0	69.7	66.563576	188.0	0.0	49.99961	0.0	49.99961	49.99961	300000	0.043099083	1.2898097e-07	-0.018312179	-1.1599593e-07	0.74934417	0.945498	0.8787	99.0	1251.5049946308136
