Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-0.16138783	0.4928822	0.8532475	-1.3242732	1000.0	17.4	44.891422	190.0	0.0	-0.05432558	0.035182327	0.03903545	-0.13104163	20000	-1.7881394e-08	8.3338175	-0.007820207	-4.8614626	0.9189385	0.0076489216	0.11445	99.0	20.118650674819946
1	-0.3695875	0.5966136	0.55078757	-2.2386405	1000.0	68.5	155.9229	582.0	0.0	-0.23366435	0.90006524	0.8211353	-8.694742	40000	4.656613e-09	0.6786025	-0.011537148	-0.49332866	0.9286008	0.008979581	0.10735001	99.0	39.62433624267578
2	0.11395867	0.65070647	1.2010971	-1.2987195	1000.0	77.85	146.00146	603.0	0.0	-0.084775425	0.4817674	0.3643612	-11.694	60000	0.0	43.546185	-0.011471529	-5.8843164	0.9138408	0.0037387498	0.074200004	99.0	58.2212233543396
3	0.44809	0.90437335	2.5109122	-0.77656007	1000.0	114.55	145.32773	562.0	0.0	-2.3585742	0.041777276	-2.2322557	-2.4750519	80000	-2.9802322e-08	152.5615	-0.009354571	-15.21152	0.92346954	0.0053558126	0.06465	99.0	76.87033438682556
4	-0.2850913	1.6315156	2.7968302	-4.933523	1000.0	76.05	127.179985	436.0	0.0	-6.266679	0.00022755296	-6.2654777	-6.268209	100000	-7.0780515e-09	171.88203	-0.009739025	-0.035722733	0.9252825	0.005423772	0.081300005	99.0	95.96694874763489
5	-0.2439888	1.3143778	2.6863048	-2.7658694	1000.0	28.0	46.29471	164.0	0.0	-6.0779147	0.0003304561	-6.075724	-6.079169	120000	-8.940697e-09	60.590965	-0.009132462	-11.163115	0.9243289	0.0065122666	0.10265	99.0	115.25464701652527
6	-0.8906517	1.521372	2.7342608	-3.6864672	1000.0	30.15	110.377655	506.0	0.0	-2.7328315	0.00044375678	-2.7304728	-2.7335963	140000	0.0	107.00427	-0.00861183	-0.05793438	0.92446125	0.003905838	0.08670001	99.0	134.0977442264557
7	-1.6346184	2.4457362	1.2028204	-5.902523	1000.0	30.5	66.54059	232.0	0.0	-2.4917476	0.0006215959	-2.4880774	-2.4932861	160000	-5.9604646e-09	50.188858	-0.0115386145	-0.012946511	0.9342352	0.0072705103	0.088599995	99.0	152.62252688407898
8	-1.619422	1.9310256	1.2138515	-5.707676	1000.0	12.85	41.972935	181.0	0.0	-2.3993182	0.0024900748	-2.3843603	-2.4028559	180000	-3.8743018e-08	22.284544	-0.008717975	-1.6690401	0.9583422	0.0054385643	0.08815	99.0	171.44412207603455
9	-1.9309723	1.9260354	1.2266241	-6.062807	1000.0	9.35	21.569134	88.0	0.0	-1.0916529	0.07483882	0.48256612	-1.1268699	200000	1.7881394e-08	5.3830824	-0.010487441	-0.30884057	0.9810964	0.009001026	0.1452	99.0	190.25235867500305
