Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-0.16138783	0.4928822	0.8532475	-1.3242732	1000.0	17.4	44.891422	190.0	0.0	-0.05432558	0.035182327	0.03903545	-0.13104163	20000	-1.7881394e-08	8.3338175	-0.007820207	-4.8614626	0.9189385	0.0076489216	0.11445	99.0	19.789392948150635
1	-0.3695875	0.5966136	0.55078757	-2.2386405	1000.0	68.5	155.9229	582.0	0.0	-0.23366435	0.90006524	0.8211353	-8.694742	40000	5.9604646e-09	93.41194	-0.009831518	-74.80724	0.9286008	0.0051610735	0.07225	99.0	38.718817472457886
2	0.29630327	1.0101945	2.842933	-1.3851521	1000.0	56.25	100.65181	322.0	0.0	-1.0271876	3.6291645	0.71620095	-24.582302	60000	1.7276033e-08	160.20952	-0.011267299	-27.158377	0.93341243	0.0065932097	0.11395	99.0	57.18959140777588
3	0.020275896	1.0703933	1.6172094	-2.3234153	1000.0	23.35	60.725014	257.0	0.0	-3.8668392	0.0016070654	-3.8623464	-3.8706229	80000	-1.7881394e-08	57.80553	-0.009902045	-2.6073349	0.9321718	0.0057240166	0.101349995	99.0	75.93376684188843
4	0.3604769	1.2388437	2.5687807	-1.726796	1000.0	32.65	79.19803	329.0	0.0	-2.2554324	0.00022367595	-2.2549276	-2.2579432	100000	2.9802322e-08	90.530464	-0.013014672	-0.33760786	0.94401455	0.0066782883	0.10525	99.0	94.22249341011047
5	0.7553202	1.4795742	3.2784526	-2.5600407	1000.0	21.2	37.82671	144.0	0.0	-2.8382175	0.00024777156	-2.8375747	-2.8404212	120000	-1.1920929e-08	45.679535	-0.010121024	-0.6735745	0.9575728	0.006531965	0.11435	99.0	112.56042408943176
6	0.09520795	1.1121571	2.5790577	-1.5370835	1000.0	29.35	91.826614	410.0	0.0	-2.0130603	0.00024651815	-2.0124345	-2.0155332	140000	0.0	105.94702	-0.010643339	-0.4316519	0.9636711	0.007850816	0.09495	99.0	131.41228723526
7	0.3093831	1.5325539	3.587984	-2.4624953	1000.0	10.3	29.456917	128.0	0.0	-2.6721723	0.00019411197	-2.6716657	-2.6745925	160000	1.6577541e-08	27.58633	-0.010641013	-2.6938846	0.99129736	0.009432538	0.122449994	99.0	149.98923635482788
8	-0.30144152	1.5877295	3.9795501	-2.5846813	1000.0	4.0	16.112108	74.0	0.0	-1.0258273	0.00013235296	-1.0254022	-1.0272832	180000	1.1920929e-08	6.6021967	-0.007748154	-0.32572785	0.9911094	0.0052861576	0.101399995	99.0	169.81284832954407
9	0.017003024	1.533333	3.1725883	-2.5402894	1000.0	38.45	80.6892	350.0	0.0	-0.45542714	0.00014767646	-0.45496365	-0.45945433	200000	0.0	137.5678	-0.01212388	-7.397545	1.015491	0.0046762754	0.09245	99.0	188.83318066596985
10	0.055791885	1.3795836	3.4951222	-2.6656692	1000.0	7.85	25.954334	113.0	0.0	-3.1874018	0.00029736047	-3.1866696	-3.1897638	220000	8.940697e-09	20.455166	-0.012493174	-5.036805	1.0219193	0.009563006	0.12349999	99.0	207.73704266548157
11	-0.5089323	1.1991364	2.3372078	-2.3900855	1000.0	0.0	0.0	0.0	0.0	-0.9312327	0.00017408798	-0.93084013	-0.93311286	240000	-1.15484e-08	0.73034126	-0.010689672	-0.6958257	1.0376196	0.0065108375	0.11105001	99.0	226.78966236114502
