Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	10.0	0.0	10.0	10.0	1000.0	40.9	29.101374	97.0	0.0	-0.019609507	0.021428358	0.018424483	-0.0999153	10000	0.58380765	0.8825405	-0.5172241	-0.8428788	0.9189386	4.052699	0.96	99.0	33.133848667144775
1	10.0	0.0	10.0	10.0	1000.0	24.7	23.920912	66.0	0.0	0.89487785	0.04777034	1.0616038	0.7525295	20000	0.70562434	0.011103144	-0.76379514	-0.010556626	0.9114871	7.2704673	0.9528	99.0	73.51461601257324
2	10.0	0.0	10.0	10.0	1000.0	46.1	48.00927	139.0	0.0	0.98932207	0.011975237	1.0544955	0.93719983	30000	2.0612335	0.00023163934	-1.7969384	-0.00019107004	0.90454763	10.979716	0.9973	99.0	112.90419697761536
3	10.0	0.0	10.0	10.0	1000.0	21.3	39.691437	133.0	0.0	0.9977336	0.00659927	1.0485842	0.96495956	40000	0.26217976	4.560513e-05	-0.14632577	-2.7451606e-05	0.9091382	10.011716	0.9407	99.0	150.9973521232605
4	10.0	0.0	10.0	10.0	1000.0	31.1	31.982653	87.0	0.0	0.99961084	0.0050201137	1.0471413	0.98108405	50000	0.11021322	2.5156354e-05	-0.05072885	-1.2613588e-05	0.90748984	10.955102	0.9358	99.0	187.82208895683289
5	10.0	0.0	10.0	10.0	1000.0	28.2	27.33057	70.0	0.0	0.9995829	0.0036376163	1.0354258	0.9768907	60000	0.16801125	1.3571548e-05	-0.053581245	-4.8682277e-06	0.89856815	11.489657	0.9497	99.0	225.11646103858948
6	10.0	0.0	10.0	10.0	1000.0	36.3	42.054844	130.0	0.0	0.99979705	0.003444061	1.0362879	0.98525614	70000	0.15318848	1.2028691e-05	-0.040269315	-3.9628458e-06	0.892529	12.645024	0.9475	99.0	261.3194236755371
7	10.0	0.0	10.0	10.0	1000.0	31.6	34.047615	89.0	0.0	0.9997014	0.0025084212	1.031747	0.9870951	80000	0.13947335	6.211905e-06	-0.053992294	-1.8770484e-06	0.88669336	10.4520855	0.9495	99.0	294.94559240341187
8	10.0	0.0	10.0	10.0	1000.0	45.3	35.137016	101.0	0.0	0.9997881	0.0022249932	1.0252199	0.9884413	90000	0.1316954	5.029309e-06	-0.037008658	-1.2049918e-06	0.8783629	11.1655245	0.946	99.0	333.1405031681061
9	10.0	0.0	10.0	10.0	1000.0	24.2	24.947144	70.0	0.0	0.99980235	0.0021640358	1.0226256	0.9836261	100000	0.34501585	4.8830093e-06	-0.10967176	-1.3712447e-06	0.86901796	42.989452	1.0	99.0	369.9804060459137
10	10.0	0.0	10.0	10.0	1000.0	58.0	40.5512	115.0	0.0	0.99941766	0.0022409633	1.0207145	0.9812991	110000	0.22993486	5.293985e-06	0.0	-1.922855e-06	0.868461	42.86851	1.0	99.0	407.46698093414307
11	10.0	0.0	10.0	10.0	1000.0	56.3	43.829327	132.0	0.0	0.9998294	0.0019456059	1.0183036	0.98708904	120000	0.25851583	3.8905946e-06	0.0	-1.0737183e-06	0.868461	43.00784	1.0	99.0	443.6627621650696
12	10.0	0.0	10.0	10.0	1000.0	33.0	33.12401	101.0	0.0	0.9999543	0.0017378364	1.0175551	0.98817605	130000	0.25609726	3.065136e-06	0.0	-1.0635108e-06	0.868461	42.887962	1.0	99.0	482.09721326828003
13	10.0	0.0	10.0	10.0	1000.0	38.0	32.227318	91.0	0.0	0.9999289	0.0017378415	1.0138024	0.9854735	140000	0.26414987	3.0321726e-06	0.0	-9.1542597e-07	0.868461	43.041164	1.0	99.0	517.2038216590881
14	10.0	0.0	10.0	10.0	1000.0	22.4	18.85842	44.0	0.0	0.999992	0.0014025094	1.0143126	0.9900713	150000	0.26907188	2.0139844e-06	0.0	-4.1199814e-07	0.868461	42.984	1.0	99.0	550.9602422714233
15	10.0	0.0	10.0	10.0	1000.0	48.7	60.395447	205.0	0.0	0.9997514	0.0014344519	1.009381	0.98998994	160000	0.2756326	2.1291498e-06	0.0	-5.9026104e-07	0.868461	42.924503	1.0	99.0	586.1452758312225
16	10.0	0.0	10.0	10.0	1000.0	39.7	38.54102	122.0	0.0	1.0000877	0.0013531893	1.0108837	0.9926182	170000	0.26975462	1.8746331e-06	0.0	-5.2679115e-07	0.868461	43.042587	1.0	99.0	626.6185231208801
17	10.0	0.0	10.0	10.0	1000.0	58.5	31.80959	121.0	12.0	0.99982834	0.0012544129	1.0093507	0.98551255	180000	0.2725281	1.6471535e-06	0.0	-4.2112947e-07	0.868461	42.98991	1.0	99.0	667.3139100074768
18	10.0	0.0	10.0	10.0	1000.0	24.1	30.89806	79.0	0.0	0.99999714	0.0011013941	1.009987	0.9920828	190000	0.27845946	1.2272013e-06	0.0	-2.5723511e-07	0.868461	42.875736	1.0	99.0	706.8255350589752
